locus_tag,gene, protein_length, gene_length
new13740251374396,S467, ,372
BSU13799,ykzR,83,252
BSU30420,ytrE,231,696
BSU13100,ykkD,105,318
new10743501074613c,S353, ,264
BSU14390,fruK,303,912
BSUmiscRNA94,mswM, , 
BSU28940,serB,260,783
BSU32200,yutJ,355,1068
BSU10360,yhfT,479,1440
BSU10820,yisQ,455,1368
BSU08920,yhbB,311,936
BSU26580,bltR,273,822
BSU02210,ybfH,306,921
BSU21270,yomP,63,192
new36452973645378c,S1355, ,82
BSU27390,yrrK,138,417
BSU27520,cymR,138,417
BSU30630,rppH,158,477
BSU38495,BSU38495, , 
new5336355717c,S31, ,2355
BSU18010,yneN,170,513
BSU31910,yukE,97,294
BSU12810,xlyA,297,894
BSU09640,yhdY,371,1116
BSU18980,yobJ,280,843
new36045683604754c,S1336, ,187
new12520611252565c,S422, ,505
BSU27890,nadR,180,543
new826720827251,S259, ,532
BSU32140,paiB,207,624
BSU13660,kinD,506,1521
BSU08670,ygaB,114,345
BSU16040,rplS,118,357
BSU24510,yqhO,291,876
BSU01630,feuA,317,954
new39963773996599,S1495, ,223
new24777582477958c,rpmGC, ,201
BSU15780,cpgA,298,897
BSU05290,ydeP,128,387
BSU37670,hemQ,254,765
BSU08790,thiC,590,1773
new22087812208854c,S786, ,74
BSU15570,cysH,233,702
BSU03250,ycgR,294,885
BSU08440,yfiY,325,978
new19456551945976c,S677, ,322
BSU18620,yoaI,483,1452
BSU40940,yyaD,338,1017
BSU37630,ywfM,296,891
new27087892708942c,S989, ,154
BSU00260,yaaN,386,1161
BSU10890,yisX,212,639
BSU37100,murAB,429,1290
BSU19880,yotH,57,174
BSU38018,ywzG,112,339
BSU05130,ydeB,153,462
BSUtRNA37,trnD-Tyr, ,85
new27562272756311,S1017, ,85
BSU05409,ydzQ,47,144
BSU34280,epsJ,344,1035
BSU32810,yusI,118,357
BSU32310,yutD,91,276
BSU01970,skfG,171,516
BSU01200,rpsS,92,279
BSU03981,mtlA,478,1437
BSU06330,yeaC,320,963
BSU34220,epsO,322,969
new928316928388,S291, ,73
BSU03760,yclK,473,1422
BSU24910,yqgM,359,1080
BSU32420,pucR,531,1596
BSU25850,yqzI,52,159
BSU30980,glgB,627,1884
BSU00580,yabN,489,1470
BSU30550,metK,400,1203
BSU02680,lmrA,188,567
new635022635109,S204, ,88
BSU37520,ywhD,172,519
new25282672528403c,S917, ,137
BSU02181,ybfEn, , 
BSU07735,yflB,130,393
BSU06880,yesF,286,861
BSU38410,sacX,459,1380
BSU29890,ytnP,256,771
new285988286047,S99, ,60
BSU13190,ispA,319,960
BSU18900,yozJ,151,456
BSU10220,gltT,429,1290
new25659212566988,S930, ,1068
BSU34100,rsbQ,269,810
BSU01360,secY,431,1296
new19033301903490,S645, ,161
BSU17300,ebrA,105,318
BSU06900,cotJB,87,264
new376667376967,S126, ,301
BSU04490,ydbJ,308,927
BSU09140,yhcM,151,456
new18720921872751c,S622, ,660
BSUtRNA79,trnE-Arg, ,77
BSU26055,bsrH, ,508
BSU10680,gerPE,133,402
BSU11790,yjcA,118,357
BSU32430,pucJ,449,1350
BSU03150,aroK,186,561
BSUmiscRNA29,BSUmiscRNA29, ,106
BSU14560,defB,184,555
BSU28920,lytT,241,726
BSU18050,yneQ,99,300
new10385431038616,S334, ,74
new32178483218524,S1194, ,677
BSU09060,yhcF,121,366
BSU36350,ywpD,278,837
BSU23440,spoVAA,206,621
BSU02660,ycbU,370,1113
BSU18480,proH,297,894
BSU14730,ylaC,173,522
BSU26670,gltR,296,891
BSU24370,spoIIIAG,229,690
BSU03000,opuAC,293,882
new26550002655301c,S972, ,302
BSU09180,yhcQ,217,654
new10353971035553,S333, ,157
BSU00720,yacD,297,894
BSU03790,thrD,454,1365
BSU21638,BSU21638, , 
BSU21150,yonB,338,1017
BSU19110,yobW,181,546
BSU16050,rbgA,282,849
BSU06520,purH,512,1539
BSU11490,yjbC,192,579
BSUtRNA38,trnD-Trp, ,74
new30281033029246c,S1123, ,1144
BSU38370,glxA,126,381
BSU32320,yutC,210,633
BSU35600,tuaB,483,1452
new935441935588c,S296, ,148
new38131683813245c,S1443, ,78
BSU27786,BSU27786, , 
BSU37260,narJ,184,555
BSU03800,fpbN,316,951
BSU06650,sapB,232,699
BSU38950,yxjH,377,1134
BSU19660,yozD,58,177
BSU13970,ykwD,257,774
new21238022124020,S751, ,219
BSU13120,proB,365,1098
BSU21490,sunI,105,318
BSU40990,noc,283,852
BSU10620,addB,1166,3501
BSU37430,albG,233,702
BSU11929,yjzG,57,174
BSU00340,trmN6,247,744
BSU17100,pksC,288,867
BSU40780,tetL,20,60
new23202142320354c,S835, ,141
BSU31319,yuzI,87,264
BSU18150,xynC,422,1269
new121686121918,S51, ,233
new20540852054544c,S709, ,460
BSU20740,yopW,111,336
BSU27420,yrrI,353,1062
BSU31279,yuzH,84,255
new26787242678943,S978, ,220
BSU31000,yuaI,173,522
BSU13299,ykzO,70,213
BSU16750,asd,346,1041
BSU24580,yqhH,557,1674
BSU40500,rplI,149,450
BSU24240,recN,576,1731
BSU36470,pucI,490,1473
BSU13060,ykjA,243,732
new525021528076c,S166, ,2892
BSU07520,fecC,315,948
new325190325277c,S107, ,88
BSU34840,yvcB,636,1911
BSU40820,yyaL,689,2070
BSUmiscRNA71,surG, , 
new37308463730971c,S1394, ,126
BSU37790,rocG,424,1275
BSU14010,cheV,303,912
BSU30595,ytlA,334,1005
new15250611525238c,S529, ,178
BSU05770,ydhI,160,483
BSU12290,ndh,392,1179
new27407432740894,S1009, ,152
BSU11100,nprB,538,1617
BSU29440,argH,461,1386
BSU39960,yxaI,151,456
BSU01620,feuB,334,1005
BSU12010,manP,650,1953
BSU33330,yvsH,469,1410
BSU24400,spoIIIAD,133,402
BSU34610,mdxE,417,1254
BSU02410,ybgG,315,948
BSU07070,yesY,217,654
BSU35610,tuaA/2,162,486
new15812241582676c,S555, ,1453
BSUmiscRNA35,rnpB, ,401
new20278272028174c,S690, ,348
BSU13240,thiU,200,603
BSU36660,ureA,105,318
BSU34040,lutB,479,1440
BSU28070,comC,248,747
BSU04730,sigB,262,789
BSU24290,yqiC,84,255
BSU35680,ggaB,900,2703
BSU30260,melR,344,1035
BSU29120,mdh,312,939
BSU17740,ynzB,62,189
BSU07020,yesT,232,699
new27790732779163c,S1026, ,91
BSU14480,abh,92,279
BSU23519,yqzK,75,228
BSU30200,bioB,335,1008
BSU01950,skfE,239,720
BSU32350,fisB,254,765
BSUmiscRNA17,BSUmiscRNA17, ,211
new909123909197c,S284, ,75
BSU15580,cysP,354,1065
BSU01580,ybaR,478,1437
BSU22700,aroB,362,1089
BSU27800,yrzH,43,132
BSU16550,ispC,383,1152
BSU32800,gcvH,127,384
BSU29140,citZ,372,1119
new651963653431,S210, ,1469
BSU20650,yoqF,67,204
BSU16100,sucD,300,903
BSU30860,ytcA,428,1287
new12696721269732c,S437, ,61
new24847362485656c,S906, ,921
BSU14810,ylaK,442,1329
BSU38190,galT,513,1542
BSU10150,yhgD,191,576
new10565391056622,S346, ,84
BSU41050,rnpA,116,351
BSU18060,yneR,95,288
BSU08650,fabL,250,753
new39889813989722c,S1491, ,742
BSU04320,kimA,607,1824
BSU30500,ytpB,367,1104
BSUmiscRNA87,mnrW, , 
BSU02620,phoD,583,1752
BSU30070,opuD,512,1539
BSU32670,sufB,465,1398
BSU01430,rpoA,314,945
BSU21430,bhlB,88,267
BSU10040,ecsA,247,744
new118452118590,S49, ,139
BSU12310,yjmB,459,1380
new28861352886266c,S1068, ,132
BSU37010,prfA,356,1071
BSUmiscRNA24,BSUmiscRNA24, ,102
BSU40130,yydK,236,711
BSU12490,yjqC,278,837
BSU31130,yubD,511,1536
BSU19010,yobM,187,565
BSU31690,comP,769,2310
BSU12300,uxaC,473,1422
BSU30890,ytxO,143,432
new13033551303422,S452, ,68
BSU09840,hemZ,501,1506
BSU25750,nucB,136,411
BSU40022,yxaC,230,693
BSU39250,yxiE,148,447
BSU04080,pxpB,240,723
new19150011915132c,S653, ,132
new37177093717906c,S1388, ,198
BSU40580,yybN,145,438
BSU24610,sinR,111,336
BSU31150,uppP,276,831
BSU26790,aadK,284,855
new663288663600,S218, ,313
new234998235624,S81, ,627
BSU35150,yvzB,160,483
BSU33440,cysJ,605,1818
BSU12450,yjpA,85,258
new41300454131409,S1544, ,1365
BSU22490,dapB,267,804
BSU01460,ybaE,276,831
BSU12630,xkdI,161,486
BSU07940,yfkC,280,843
BSU12070,yjdJ,109,330
BSU26860,yraO,438,1317
BSU33260,yvrN,409,1230
BSU04720,rsbW,160,483
BSU05529,ydzR,76,231
BSU10830,yisR,287,864
BSU14009,ykzT,53,162
BSU27270,mtnN,231,696
new31789343179900c,S1182, ,967
BSU10570,yhjN,384,1155
BSU40970,parA,253,762
new20691762069261c,S714, ,86
BSU33239,yvrJ,112,339
BSU06750,yefC,111,336
BSU02470,ycbD,488,1467
BSU33690,yvaQ,566,1701
BSU11920,yjcN,106,321
BSU31160,yubA,388,1167
BSU23690,yqjY,156,471
BSU38110,nfrA,249,750
BSU00280,tmk,212,639
BSU33680,catR,108,327
BSU00930,cysE,217,654
new507683507752c,S154, ,70
BSU21360,yomH,252,759
BSU00410,rnmV,186,561
BSU34060,yvfU,200,603
BSU36320,ywpG,127,384
BSU04140,pbpC,668,2007
BSU33490,cadA,699,2100
BSU20310,yorO,65,198
BSU17880,ynzC,77,234
BSU13330,ykoL,60,183
BSUmiscRNA55,ssrA, , 
new22984632299409,S821, ,947
BSU22690,aroH,127,384
BSU18410,ggt,587,1764
BSU31070,gbsR,180,543
new33028953303142c,S1241, ,248
BSU14310,moaD,77,234
BSU32940,yusV,275,828
new18803781880622,S626, ,245
BSU02080,ybxH,63,192
BSU34860,hisI,209,630
BSU19910,yotE,48,147
BSU11850,yjcG,171,516
BSU31650,mrpF,94,285
new961009961338,S309, ,330
BSU23160,rluB,244,735
new876178876425,S280, ,248
BSU15250,ylxW,231,696
BSU24410,spoIIIAC,68,207
BSU17410,cwlC,255,768
BSU05070,yddQ,180,543
BSU24970,pstA,294,885
BSU40440,dnaC,454,1365
BSU37290,arfM,158,477
BSU15550,pyrF,239,720
new42151044215254c,S1581, ,151
BSUtRNA48,trnS-Gln, ,75
BSU02200,ybfG,732,2199
BSU18275,BSU18275, , 
BSU13800,ykvR,96,291
BSU35230,swrA,112,339
BSU11340,fabF,413,1242
BSU23010,ypbD,189,570
BSU07090,yetA,857,2574
BSU34330,epsE,278,837
BSUtRNA3,trnY-Glu, ,72
new21663262166412c,S769, ,87
BSU18020,sspN,48,147
new37627783763121c,S1411, ,344
new822826826091,S257, ,3266
new24728642473150,S902, ,287
BSU01860,ybcF,175,528
BSU22860,yphA,199,600
BSU34350,epsC,598,1797
BSU08899,ygzD,66,201
new32202423220300c,S1195, ,59
BSU34210,yvfG,72,219
BSU15210,spoVE,366,1101
BSU15840,fakA,553,1662
new573400574654,S183, ,1255
BSU15750,yloN,363,1092
BSU15230,murB,303,912
BSU20730,yopX,134,405
new658495658899,S214, ,405
BSU28700,ysfE,80,243
BSU11840,yjcF,140,423
BSU22190,ypsA,209,630
BSU30470,ytzC,90,273
BSU17240,ymzB,118,357
BSU14620,slp,124,375
BSU32620,yurQ,124,375
new15603621560465,S544, ,104
BSU26300,yqaI,64,195
new300503300693c,S101, ,191
BSU33029,yirB,54,165
BSU10080,yhfA,463,1392
new930671930735,S293, ,65
BSU19590,ctpA,466,1401
new28311212831885,S1049, ,765
BSU34030,lutC,240,723
BSU19450,rsbRC,282,849
BSU01040,rplJ,166,501
BSU24930,sweD,117,354
new238571238643c,S85, ,73
BSU15330,sigG,260,783
BSU02800,ycdC,453,1362
BSU01180,rplW,95,288
BSU14540,rpoY,69,210
BSUtRNA69,trnB-Ile2, ,77
BSU39770,iolR,251,756
BSU34570,yvdK,757,2274
new30465843046684c,S1141, ,101
BSU02000,ybdJ,223,672
new67846993,S6, ,210
BSU18250,yngI,549,1650
BSU08070,acoB,342,1029
BSU13750,queF,165,498
BSU02990,opuAB,282,849
BSU28320,ysnD,111,336
new33539403354550c,S1255, ,611
BSU23570,ansB,475,1428
BSU38060,ywcJ,256,771
BSU26530,yrkF,185,558
new18865281887351,S631, ,824
BSU00180,yaaJ,161,486
BSU13090,ykkC,112,339
new7688776983,S38, ,97
BSU24430,spoIIIAA,307,924
BSU21220,yomU,265,798
BSU33060,gerAB,365,1098
BSU31875,yukB,1495,4488
BSU16250,fliJ,147,444
BSU14440,ykpB,303,912
BSU24130,mmgE,472,1419
BSU35770,tagC,442,1329
BSU22470,bshB1,236,711
new338187338287,S110, ,101
BSU12100,pdaC,467,1404
BSU06340,yeaD,398,1197
BSU10400,yhxC,285,858
new2663626731,S18, ,96
BSU07560,pel,420,1263
new36952803695362,S1381, ,83
BSU16910,rodZ,288,867
BSU11890,yjcK,181,546
BSU04330,mutT,149,450
new11284821129270,S373, ,789
new35730563573206c,S1323, ,151
BSU11720,fabI,258,777
BSU06034,ydzT/2,52,159
new150409,S3, ,260
BSU31700,comX,55,168
BSU02550,ycbL,226,681
new1481115868,S8, ,1058
new490639490854,S145, ,216
new23843712384456c,S859, ,86
BSU02019,ybzI,87,264
BSU36040,ywrJ,225,678
BSU36250,ptkA,237,714
BSU37200,ywjD,320,963
BSU35699,yvzE,198,597
new27508102750882c,S1014, ,73
new13831871383294c,S469, ,108
new15506491550796c,S539, ,148
BSU25020,sodA,202,609
BSU24320,nusB,131,396
BSU40340,rocD,401,1203
BSU37270,narH,487,1464
BSU29520,sppI,164,495
BSU31010,floT,509,1530
new41072594107332c,S1537, ,74
new37777963777913c,S1419, ,118
new20183142018433c,S684, ,120
BSUmiscRNA18,BSUmiscRNA18, ,156
BSU17320,ymaF,137,414
BSU23860,gndA,469,1410
BSU27030,sacC,677,2034
BSU10590,yhjP,575,1728
new31591853159752,S1179, ,568
BSU23080,aroC,255,768
new492500492577c,S147, ,78
BSU08880,rpsNB,89,270
BSU04670,rsbR,274,825
BSU02580,ycbO,228,687
BSU02340,gltP,414,1245
new23676192367686c,S855, ,68
BSU28509,BSU28509, , 
new19151341915264c,S655, ,131
BSU40620,yybJ,218,657
BSU11190,argC,346,1038
BSU07955,yfkA,373,1122
new11227621122861,S370, ,100
new32569083257021c,S1215, ,114
BSU18570,yoaE,680,2043
BSU35650,tagU,306,921
BSU31400,alaT,386,1161
BSU29990,pbuO,432,1299
BSU13490,htpX,298,897
BSU17720,yndA,132,399
BSU23970,artQ,219,660
BSU03652,yclD,154,465
BSU04900,yddA,102,309
new22922852292400c,S819, ,116
new20961292096321c,S736, ,193
new37803933780655c,S1422, ,263
BSU24250,ahrC,149,450
BSU27935,BSU27935, , 
BSU12790,xhlA,89,270
BSU30660,ctaK,145,438
BSU37160,rpoE,173,522
BSU19240,yocK,163,492
new12349091235088c,S417, ,180
BSU33230,sigO,177,531
BSU39570,yxeF,144,435
BSU11780,cotV,128,387
BSU29110,phoP,240,723
BSU30960,glgD,343,1032
BSU12910,proG,272,819
new19174321917610,S659, ,179
BSU07360,yfmS,286,861
BSU36669,ywzF,60,183
new783392785083c,S247, ,1692
BSU19470,yojF,116,351
BSU19930,yotC,63,192
BSU17450,glnR,135,408
new33888323388961c,S1274, ,130
BSU08120,yfjF,109,330
new21049022106408,S745, ,1507
new651869651961,S209, ,93
BSU32280,yutG,166,501
BSU24110,yqzF,78,237
BSU19180,des,352,1059
BSU21950,ypzA,89,270
BSU32020,yuiH,198,597
BSU11798,BSU11798, , 
BSU01520,ybaK,147,444
BSU17090,pksB,225,678
BSU17550,ynaG,91,276
BSUtRNA80,trnE-Gly, ,74
new18962251896423,S637, ,199
BSU16690,pnpA,705,2118
BSU05850,gmuR,237,714
new17270251727132,S590, ,108
new13826281383305,S468, ,678
BSU38380,ywbB,225,678
new38933123893440,S1463, ,129
BSU08050,yfjL,229,690
BSU23050,ribU,190,573
BSU00110,pdxS,294,885
BSU29920,ccrZ,204,615
new604577605269,S197, ,693
BSU39010,tlrB,282,849
BSU32910,yusS,109,330
BSU20660,yoqE,54,165
new29500252950153c,S1087, ,129
BSU12600,xkdF,275,828
BSU23640,yqkD,305,918
BSU04030,ycsD,130,393
BSU06812,yeeF,669,2010
BSUmiscRNA31,BSUmiscRNA31, ,92
BSU07050,yesW,620,1863
BSU18700,yoaQ,118,357
BSU01250,rpsQ,87,264
new22086482208779c,S785, ,132
BSUtRNA14,trnJ-Lys, ,76
BSU06890,cotJA,82,249
BSU29230,dnaE,1115,3348
BSU25310,dgkA,123,372
new698472698611,S231, ,140
new40748114074895c,S1524, ,85
BSU14020,kre,154,465
new10002821000363,S320, ,82
BSU05530,ydfR,225,678
BSU19600,yodH,233,702
BSU29640,ytsP,163,492
BSU15010,ylbH,185,555
BSU38590,licB,102,309
BSU38250,ywbO,200,603
BSU38940,yxjI,162,489
BSU34265,epsK,505,1518
new302355302434,S102, ,80
BSU40239,yyzF,56,171
BSU29720,motS,242,729
BSU28490,uvrC,590,1773
new37336493733734c,S1395, ,86
BSU17530,ynaE,213,642
BSU40520,yybS,309,930
BSU10050,ecsB,408,1227
new11307591130917c,S376, ,159
new38429963845478,S1450, ,2483
new30143453014422c,S1118, ,78
BSU29680,acsA,572,1719
BSUmiscRNA51,BSUmiscRNA51, ,102
BSU09440,citA,366,1101
new28294492829527c,S1047, ,79
BSU28110,spoVID,575,1728
BSU30570,ytmB,80,243
BSU21380,yomF,273,822
BSU41020,thdF,459,1380
BSU17210,pksN,5488,16467
BSU07620,yflN,264,795
new220033220103,S78, ,71
new33027643302893c,S1240, ,130
BSU40740,satA,173,522
BSU05730,ydhF,236,711
new27365372736639c,S1005, ,103
new30379163038059c,S1138, ,144
BSU17870,yneB,217,654
BSU04180,ydaC,181,546
BSU20360,yorJ,378,1137
BSU15280,ftsA,440,1323
BSU35200,yvkB,189,570
new32324833234571c,S1206, ,2089
BSU10860,bstC,169,510
BSU00010,dnaA,446,1338
new15878151587925,S558, ,111
new12357091235911c,S418, ,203
BSU08830,ssuB,255,768
BSU33900,eno,430,1293
BSU34140,ganQ,283,852
new33724733372739c,S1264, ,267
BSU12519,yjzJ,59,180
new19002631900568c,S639, ,306
BSU35710,tagG,275,828
BSU38070,sacT,276,831
BSU19310,dhaS,495,1488
BSU26570,yrkB,48,147
BSU09710,bmrC,585,1758
new34664123467550,S1297, ,1139
new12558671256041c,S426, ,175
BSUmiscRNA45,BSUmiscRNA45, ,247
BSU16000,khpA,81,246
new39113043911465c,S1468, ,162
BSU17500,ynaB,144,435
BSUmiscRNA64,bsrC, , 
new23915172391641c,S864, ,125
BSU12660,xkdM,147,444
new23461322346223c,S846, ,92
BSU11260,yjzC,59,180
BSU32470,pucE,173,522
BSU37220,ywjB,174,525
BSU33590,yvaG,264,795
BSU23960,artR,240,723
new784299784380,S248, ,82
new27784202778505c,S1023, ,86
BSU31530,malR,235,708
BSU20470,yoqY,131,396
new32465293246678,S1211, ,150
BSU34580,yvdJ,294,885
BSU30230,bioA,448,1344
new646411646581,S206, ,171
BSU16380,flhB,360,1083
BSU05570,ydgB,90,273
BSU32990,mrgA,153,462
BSU17460,glnA,444,1335
BSU21330,yomK,148,447
BSU35840,tagT,322,969
new965798965868,S310, ,71
BSU30035,ytzG,239,720
BSU30880,ytcC,407,1224
BSU19440,yojI,452,1359
BSU31200,rhaB,485,1458
BSUtRNA66,trnB-Phe, ,76
new38083933808511c,S1438, ,119
BSU18750,yoaT,264,795
new40056264005729,S1503, ,104
BSU33520,csoR,101,306
BSU25550,rpsT,88,267
new21576832157828c,S765, ,146
BSU37780,rocA,515,1548
BSU11640,cpaA,614,1845
new117257117348,S47, ,92
BSU23630,yqkE,74,225
BSU20690,yoqB,112,339
BSU29910,ytzH,92,279
BSU12370,exuR,333,1002
BSU18180,yngB,297,894
BSU27560,hisS,424,1275
BSU18280,yngK,510,1533
BSU17420,spoVK,322,969
BSU08810,senS,72,219
new29966802996979,S1112, ,300
BSU04270,ydaJ,362,1089
BSU14080,ykuH,182,549
BSU40110,bglA,479,1440
BSU30460,ytrA,130,393
BSU28020,mreC,290,873
BSU32900,yusR,129,390
new22643532265142c,S807, ,790
BSU06660,opuE,492,1479
BSU35620,lytC,496,1491
new258887259015,S92, ,129
BSUmiscRNA78,fswB, , 
BSU13250,ykoG,228,687
BSU24770,mgsR,126,381
BSU16930,cinA,416,1251
BSU10880,yisV,484,1455
new39182623918330c,S1471, ,69
BSU39980,qdoI,337,1014
BSU35380,fliW,143,432
BSU08750,ygxA,294,885
BSUtRNA78,trnSL-Val1, ,76
BSU14860,pycA,1148,3447
BSUmiscRNA67,roxS, , 
BSU26558,yrzM,105,318
BSU25430,yqeV,451,1356
BSU15670,remA,89,270
new32979623298076,S1233, ,115
new40894184089968,S1530, ,551
BSU36270,ywqB,536,1611
BSU23170,spmB,179,537
BSU05310,ydeR,395,1188
new14570051457156,S505, ,152
BSU21450,sunS,422,1269
BSU19170,yocD,325,978
BSU40640,yybH,129,390
BSU16430,cheA,672,2019
new14306251430683,S490, ,59
BSUtRNA26,trnI-Arg, ,77
BSU02860,znuC,231,696
BSU35870,capE,55,168
BSU13380,ykoS,564,1695
new24087732409563,S872, ,791
BSU20110,yosI,44,135
BSU26110,yqbH,120,363
BSU06260,ydjN,348,1047
BSU34530,cotR,320,963
BSU18500,yoxD,238,717
BSU05343,ydzS/1,33,102
BSU22040,bpsB,168,507
BSU14710,ylaA,646,1941
BSU39090,yxiP,226,681
BSU03180,cah,318,957
new29667942966948c,S1093, ,155
new38567323856994c,S1455, ,263
BSU17130,acpK,82,249
BSUmiscRNA4,ldlM, , 
new13994091400187,S477, ,779
new15592181559308,S543, ,91
BSU25340,phoH,319,960
BSU17980,sspP,48,147
new7894079025,S39, ,86
new33799403380077c,S1267, ,138
new20904552090524,S730, ,70
new23066832307712c,S827, ,1030
BSU18960,yozM,111,336
new10138611013971,S326, ,111
new42146674214752c,S1580, ,86
BSU12240,yjkA,250,753
BSU40710,yybA,150,453
BSU22240,ypqA,139,420
BSU30340,ytvA,261,786
BSU19050,yobQ,241,726
BSU19770,cgeC,101,306
new37800343780161c,S1421, ,128
BSU14990,ylbF,149,450
BSU12820,spoIISB,56,171
BSU05920,tsaB,229,690
new26285352628605c,S960, ,71
BSU21660,sprA,545,1638
BSU12069,yjzH,64,195
BSU27729,yrzS,66,201
BSU12080,ctaO,329,990
BSU10090,yhgB,104,315
new23876742387835c,S862, ,162
BSU27450,glnM,216,651
BSU15590,sat,382,1149
BSU05320,ydeS,198,597
new22815012281666,S813, ,166
BSU36860,atpE,70,213
BSU10060,ecsC,236,711
BSU12360,exuT,422,1269
BSU38900,yxjM,406,1221
new25869982587934c,S938, ,937
new574025574105c,S184, ,81
BSU20670,yoqD,251,756
BSU24800,yqgW,57,174
BSU35030,nagR,243,732
BSU23360,ppiB,143,432
BSU27180,yrhH,180,543
BSU09930,yhaM,314,945
BSU16760,dapG,404,1215
BSU26640,czcO,345,1038
new23853962385479c,S860, ,84
new25629142563888,S927, ,975
BSU19420,yojK,405,1218
BSUtRNA35,trnD-Phe, ,76
BSU39620,yxeA,115,348
BSU19060,yobR,247,744
BSU15470,pyrR,181,546
new348596348692,S118, ,97
BSU15020,ylbI,161,486
new22152722215459c,S792, ,188
BSU17689,BSU17689, , 
BSUmiscRNA54,BSUmiscRNA54, ,180
BSU05590,ydgD,114,345
BSU12640,xkdJ,146,441
BSU01880,ybcI,124,375
BSU28660,sspI,71,216
BSU30360,yttA,248,747
BSU35550,tuaG,252,759
BSU34560,malL,561,1686
BSU21730,ypmS,187,564
BSU14450,ampS,410,1233
BSU28420,ysmA,147,444
BSU25890,yqxI,159,480
BSU27830,coxA,198,597
new41858174186091,S1571, ,275
BSU34290,epsI,358,1077
BSU36410,mbl,333,1002
BSU16350,fliP,221,666
BSU09950,prsA,292,879
new30330423033166,S1132, ,125
new551930551999,S177, ,70
BSU10000,yhaH,118,357
new17836601783762,S616, ,103
BSU35560,tuaF,226,681
BSU29970,ytkP,311,933
BSU32060,yuiD,158,477
BSU26440,yrkO,405,1218
BSU28910,pftA,146,441
BSU14040,ldt,164,495
BSU35420,yvyG,160,483
BSU39610,yxeB,321,966
BSU36300,glcR,258,777
BSU30540,asnB,632,1899
BSUtRNA62,trnB-Met3, ,77
new24068812407627,S871, ,747
BSU00120,pdxT,196,591
BSU26390,sigKC,138,417
BSU19120,czrA,107,324
BSU31520,malK,533,1602
BSU27320,greA,157,474
BSU31310,yugP,225,678
BSU25940,yqcD,111,336
new34602063462957,S1290, ,2752
BSU20620,yoqI,64,195
new23402912340801,S844, ,511
BSU18420,yofA,285,858
new16091651609275,S566, ,111
BSU13870,ykvZ,321,966
BSU17680,thyA,279,840
BSU16470,sigD,254,765
BSU28130,hemB,324,975
BSU34660,yvdB,530,1593
BSU12880,ykcB,716,2151
BSU24440,yqhV,93,282
BSU21540,yolA,155,468
BSU09310,pgcA,581,1746
new19979581998066c,S679, ,109
BSU18110,ynfC,136,411
new22651442265224c,S808, ,81
BSU03380,yckB,287,864
new27921022792210c,S1036, ,109
BSU08100,acoR,605,1818
BSU03750,yclJ,227,684
BSU39339,yxzL,54,165
BSU05090,yddS,436,1311
BSU09080,yhcH,305,918
new1723817833c,S9, ,596
BSU18019,ynzL,41,126
BSU33221,yvrHb,237,714
BSU09920,sbcE,963,2892
new150362150442,S57, ,81
BSU30840,yteA,239,720
BSU33720,opuBB,217,654
BSU36130,ywrA,178,537
BSU14320,yknU,585,1758
BSU25450,yqeT,311,936
BSU20600,yoqK,67,204
BSU04280,ydaK,283,852
BSUtRNA59,trnB-Pro, ,77
BSU21020,yonR,108,327
new36885793688715c,S1377, ,137
new549652549910,S174, ,259
BSU06860,yezE,194,585
BSU18800,penP,306,921
new40116854011824,S1506, ,140
BSU34760,glmR,317,954
BSU08740,ygzB,117,354
BSU31550,nupO,510,1533
BSU37310,fnr,238,717
new37691953769288c,S1414, ,94
BSU14180,ykuQ,236,711
new40227294023053c,S1511, ,325
new417763418267c,S128, ,505
BSU39060,citH,426,1281
BSUtRNA46,trnS-Ser, ,91
new10745731076008,S354, ,1436
BSU06800,yezA,68,207
BSU18780,yoaW,143,432
BSU32010,besA,289,870
new22824862282578,S815, ,93
BSU24310,folD,283,852
BSU08550,sspK,50,153
new36255083625640c,S1347, ,133
BSU21210,yomV,236,711
new39516623951749c,S1478, ,88
BSU14790,ylaI,69,210
BSU25680,yqeG,172,519
new29786022978702c,S1098, ,101
BSU35190,yvkC,831,2496
BSU40060,gntK,513,1542
BSU16890,ymfK/1,150,453
BSU33500,copA,803,2409
BSUmiscRNA21,BSUmiscRNA21, ,101
BSU13480,ykrK,233,702
new19142331914999c,S652, ,767
BSU28970,ytxB,213,642
BSU16880,ymfJ,85,258
BSU35750,tagA,256,771
BSU06320,mneS,290,873
new30551933055921,S1144, ,729
BSU14890,ctaC,356,1071
BSU34080,yvfS,245,738
BSU03190,ycgL,260,783
BSU10110,pbpF,714,2145
BSU12870,mhqA,316,951
BSU07570,yflS,478,1437
BSU06300,cotA,513,1542
new37454143746298,S1403, ,885
BSU40790,yyaO,79,240
BSU35540,tuaH,397,1194
BSU20450,yorA,586,1761
BSU10430,yhxD,299,900
BSU19540,yodB,112,339
BSU10340,yhfR,193,582
BSU00190,dnaX,563,1692
new23967202396797c,S868, ,78
BSU40260,yycQ,82,249
BSU29900,trmB,213,642
BSU17266,ymzEn, , 
new596003596095c,S189, ,93
new23958132395952c,S866, ,140
BSU29400,ascR,308,927
BSU21260,yomQ,116,351
BSU29590,nifZ,381,1146
BSU05200,ydeH,148,447
BSUtRNA60,trnB-Ala, ,73
BSU04440,dctB,350,1053
new30612893061624c,S1148, ,336
new20987932098895c,S739, ,103
